id_veronacard,itinerary,reward,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,preference_matches
525738,"[71, 61, 59, 54, 71, 49, 52]",37.235248378224156,295.0,65,103,17.0,8,3,6,44
526760,"[61, 59, 61, 49, 71, 54, 52, 62]",41.49280667915742,314.0,60,106,0.0,8,3,7,44
529503,"[61, 59, 61, 49, 71, 54, 52, 62, 202]",64.76122269457107,410.0,70,36,24.0,9,3,8,61
532301,"[61, 59, 61, 49, 71, 54, 52, 62]",41.493000249774354,314.0,60,106,0.0,8,3,7,50
532998,"[61, 59, 61, 49, 71, 54, 52, 62, 202]",58.93729980959144,374.0,70,36,0.0,8,3,8,58
537191,"[61, 59, 61, 49, 71, 54, 52, 62, 202]",58.93729980959144,374.0,70,36,0.0,8,3,8,45
540661,"[61, 59, 61, 49, 71, 54, 52, 62, 202]",58.93741452864541,374.0,70,36,0.0,8,3,8,59
542232,"[63, 71, 61, 59, 54, 49, 52]",37.23456225351351,295.0,65,103,17.0,8,3,6,40
546302,"[61, 59, 61, 49, 71, 54, 52, 62, 202]",58.937371450098226,374.0,70,36,0.0,8,3,8,52
552946,"[63, 71, 61, 59, 54, 49, 52]",37.23451990420445,295.0,65,103,17.0,8,3,6,38
