id_veronacard,trial,itinerary,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,scores,scal_scores,hypervolume,preference_matches,time_process
522444,3,"[61, 59, 301, 52]",180.0,30,21,9.0,4,2,4,"[[array([7.50082357, 2.        ]), array([3.91315773, 6.        ]), array([5.00511477, 6.        ]), array([5.42391072, 6.        ])], [array([7.64237779, 4.        ]), array([3.37946923, 4.        ]), array([15.72928905,  6.        ]), array([2.87679353, 6.        ])], [array([5.80648294, 6.        ]), array([5.54545455, 4.        ]), array([2.50559682, 6.        ]), array([1.45234156, 6.        ])], [array([4.28631689, 6.        ]), array([7.64632872, 4.        ]), array([15.72727273,  4.        ]), array([3.30156403, 6.        ])], [array([4.28631689, 6.        ]), array([4.39133894, 6.        ]), array([13.50085764,  4.        ]), array([3.1135732, 4.       ])], [array([7.50082357, 2.        ]), array([3.91315773, 6.        ]), array([10.87607447,  4.        ])], [array([14.59529063,  6.        ]), array([13.05094869,  3.55      ])], [array([5.80648294, 6.        ]), array([5.00511477, 6.        ]), array([13.50085764,  4.        ]), array([3.86421755, 6.        ])], [array([14.59529063,  6.        ]), array([13.05094869,  3.55      ])], [array([14.59529063,  6.        ]), array([13.05094869,  3.55      ])]]","[21.105804077791888, 25.77675776229652, 17.985925524469025, 26.576889420032934, 23.17525200224768, 18.174033465534883, 20.407743586858295, 25.706003736807457, 20.407743586858295, 20.407743586858295]","[200.74076008205247, 270.9797427908536, 171.38809790201125, 256.9446560305276, 225.10783168684, 162.56500297951533, 216.295090212268, 258.4116678803158, 216.295090212268, 216.295090212268]",6,187.140238
522485,8,"[202, 71, 201, 52]",270.0,45,31,14.0,6,1,4,"[[array([3.83020284, 9.        ]), array([5.76190476, 5.        ]), array([12.37396121,  9.        ]), array([5.72982138, 5.3       ])], [array([12.96,  9.  ]), array([3.15789474, 5.        ]), array([12.00028588,  6.        ]), array([4.29029222, 4.9       ])], [array([14.5,  5. ]), array([4.40037936, 6.        ]), array([7.50117896, 2.        ]), array([10.3477684,  6.       ])], [array([17.41937699,  9.        ]), array([3.83020284, 9.        ]), array([14.08834021,  6.        ]), array([2.68661404, 5.        ]), array([0.63745132, 2.        ])], [array([6.03823998, 9.        ]), array([15.08695652,  5.        ]), array([15.29056786,  9.        ]), array([6.42982138, 6.        ]), array([1.05326477, 2.        ])], [array([10.00039502,  6.        ]), array([14.08729261,  6.        ]), array([3.91308898, 6.        ]), array([7.25117896, 1.75      ])], [array([14.59509214,  9.        ]), array([3.91403685, 6.        ]), array([13.50085764,  6.        ]), array([4.39029222, 5.        ]), array([4.28631689, 9.        ])], [array([12.96,  9.  ]), array([14.59459459,  9.        ]), array([13.30094869,  5.8       ])], [array([17.41937699,  9.        ]), array([14.59509214,  9.        ]), array([13.50094869,  6.        ]), array([2.22226773, 6.        ])], [array([17.41937699,  9.        ]), array([14.59509214,  9.        ]), array([3.91403685, 6.        ]), array([6.80117896, 1.3       ])]]","[27.937534116308825, 29.40508370208579, 29.64959603106828, 35.59719124503533, 38.739310306719794, 29.05117334717573, 38.411957444241715, 34.033325967983515, 40.64261132525919, 35.757810968145144]","[333.0068339685082, 356.0705665151423, 303.4898978927132, 449.8082034451016, 477.8772120021929, 306.6981340332169, 467.74670078287056, 466.4479402864885, 553.9448917222737, 472.5153458312881]",6,244.297681
522507,3,"[71, 61, 54, 59]",198.0,30,12,0.0,4,3,4,"[[array([6.42982138, 5.        ]), array([7.12990731, 2.        ]), array([5.42368421, 5.        ])], [array([10.00097229,  5.        ]), array([3.37954823, 4.        ]), array([4.39083067, 7.        ]), array([7.09237779, 4.45      ])], [array([3.46447102, 7.        ]), array([12.96,  8.  ]), array([5., 7.]), array([3.26798004, 7.        ])], [array([16.87502909,  8.        ]), array([3.83114961, 8.        ]), array([4.39296287, 7.        ]), array([7.49237779, 4.85      ])], [array([8.37280642, 5.        ]), array([6.42876431, 5.        ]), array([3.37946923, 4.        ]), array([6.22705964, 8.        ])], [array([6.42982138, 5.        ]), array([15.0011357,  8.       ]), array([3.52961653, 7.        ]), array([1.60511477, 7.        ])], [array([3.91403685, 7.        ]), array([14.33719588,  8.        ]), array([6.42886634, 5.        ]), array([1.34626273, 8.        ])], [array([16.87502909,  8.        ]), array([15.00140245,  8.        ]), array([1.25020476, 7.        ])], [array([3.46447102, 7.        ]), array([14.59529197,  8.        ]), array([9.04296089, 8.        ])], [array([16.87502909,  8.        ]), array([15.00140245,  8.        ]), array([1.80029491, 5.        ])]]","[16.190047743197425, 23.098237388355734, 26.41547063475218, 30.69491161451397, 23.444859761076174, 26.739413024831293, 26.81581707710341, 29.075981781426776, 25.461634330051204, 28.60603586818356]","[147.49416840116638, 232.44740818352798, 309.19205952128266, 369.6212406808319, 246.1584069005387, 311.2326883020063, 309.06298208764156, 388.01615826048425, 325.5627678117821, 385.36637974605605]",5,204.821214
522702,4,"[62, 59, 71, 76, 202]",252.0,65,43,0.0,6,2,5,"[[array([2.90393572, 5.        ]), array([5.76190476, 5.        ]), array([2.03832857, 2.        ]), array([4.865434, 8.      ]), array([12.29134301,  8.        ])], [array([2.90393572, 5.        ]), array([5.76190476, 5.        ]), array([4.60962127, 5.        ]), array([12.19152417,  5.        ])], [array([6.03822556, 8.        ]), array([13.50020083,  5.        ]), array([8.88891559, 5.        ]), array([13.95471698,  8.        ])], [array([14.59584489,  8.        ]), array([15.00140245,  8.        ]), array([6.03823998, 8.        ]), array([9.60244853, 5.        ])], [array([3.90871319, 2.        ]), array([6.98320108, 5.        ]), array([14.59572783,  8.        ]), array([6.66753634, 8.        ]), array([15.32843614,  7.6       ])], [array([10.53845925,  5.        ]), array([6.79292159, 2.        ]), array([4.70597071, 8.        ]), array([13.76372166,  8.        ])], [array([14.59584489,  8.        ]), array([6.66753634, 8.        ]), array([6.79257568, 2.        ]), array([9.45067142, 8.        ])], [array([14.59584489,  8.        ]), array([13.5,  8. ]), array([10.68636364,  7.05      ])], [array([10.53845925,  5.        ]), array([15.28414848,  8.        ]), array([15.00140245,  8.        ]), array([6.03823998, 8.        ])], [array([14.59584489,  8.        ]), array([13.5,  8. ]), array([7.12871287, 2.        ]), array([1.02871869, 5.        ])]]","[27.91656763189797, 23.28019154785712, 35.82923537815901, 38.74276150832583, 40.7301687483876, 30.68064392789692, 32.90397699347514, 32.489325115865746, 39.7173500942984, 30.95196587223179]","[316.3819677019684, 234.26890139166647, 424.6532403710342, 497.5720128776819, 505.50288893923187, 347.6378248412777, 402.3108291493024, 435.77003980988366, 511.00712382799117, 378.67433123241403]",8,236.464285
522944,8,"[61, 59, 71, 202, 54]",285.0,55,15,5.0,6,3,5,"[[array([3.90878413, 4.        ]), array([14.08695652,  9.        ]), array([9.47368421, 5.        ]), array([15.72727273,  5.        ]), array([3.27564508, 7.        ])], [array([8.88994632, 6.        ]), array([5.54545455, 5.        ]), array([2.03896788, 4.        ]), array([13.5682243,  5.       ])], [array([2.90398718, 7.        ]), array([5.76190476, 5.        ]), array([10.48148148,  9.        ]), array([3.5674278, 5.       ])], [array([14.59586762,  9.        ]), array([15.00144574,  9.        ]), array([12.63636364,  9.        ]), array([1.46161364, 8.        ])], [array([14.08837118,  6.        ]), array([6.98281612, 6.        ]), array([14.59574843,  9.        ]), array([3.83111412, 9.        ]), array([3.34046516, 4.        ])], [array([7.64615197, 6.        ]), array([15.00117075,  9.        ]), array([14.5,  5. ]), array([8.81265823, 9.        ])], [array([7.64615197, 6.        ]), array([5.00360201, 7.        ]), array([14.59530328,  9.        ]), array([15.00144574,  9.        ]), array([2.60014629, 5.        ])], [array([7.64615197, 6.        ]), array([5.00360201, 7.        ]), array([14.59530328,  9.        ]), array([15.00144574,  9.        ]), array([2.60014629, 5.        ])], [array([5.62504821, 9.        ]), array([7.64615197, 6.        ]), array([14.59574843,  9.        ]), array([15.00144574,  9.        ]), array([3.27961826, 6.75      ])], [array([5.62504821, 9.        ]), array([7.64615197, 6.        ]), array([14.59574843,  9.        ]), array([15.00144574,  9.        ]), array([3.27961826, 6.75      ])]]","[39.88340559917592, 26.025555830641096, 24.028880738536188, 40.217174383227906, 39.30310901030453, 39.175988572020046, 41.30798957411905, 41.30798957411905, 43.58880756972627, 43.58880756972627]","[464.2967307661919, 273.1491297997765, 274.7375089102641, 565.186583386655, 479.3077774639404, 498.62133457016597, 541.9668971095173, 541.9668971095173, 576.8105417783031, 576.8105417783031]",7,273.795363
523015,8,"[71, 202, 61, 52, 54, 62]",272.0,55,33,0.0,6,2,6,"[[array([3.91396117, 5.        ]), array([14.08695652,  9.        ]), array([7.64150943, 8.        ]), array([10.14708283,  7.        ]), array([2.06666667, 7.        ])], [array([3.46468363, 5.        ]), array([5.76190476, 7.        ]), array([5.55152583, 4.        ]), array([7.13611111, 9.        ])], [array([8.37275122, 6.        ]), array([13.7291598,  9.       ]), array([6.55555556, 7.        ]), array([1.83896788, 3.8       ])], [array([16.87502962,  9.        ]), array([3.91402365, 6.        ]), array([5.00132447, 5.        ]), array([7.500724, 4.      ]), array([6.04883721, 9.        ])], [array([2.97718325, 4.        ]), array([14.59492755,  9.        ]), array([15.00144574,  9.        ]), array([8.27474747, 9.        ])], [array([16.87502962,  9.        ]), array([3.91402365, 6.        ]), array([14.33722405,  9.        ]), array([5.80555556, 6.25      ])], [array([3.46468363, 5.        ]), array([14.59530465,  9.        ]), array([15.00144574,  9.        ]), array([3.52960692, 6.        ]), array([2.32213834, 4.        ])], [array([16.87502962,  9.        ]), array([15.00144574,  9.        ]), array([3.52960692, 6.        ]), array([2.97727618, 4.        ]), array([5.53793674, 8.5       ])], [array([16.87502962,  9.        ]), array([15.00144574,  9.        ]), array([3.83019202, 9.        ]), array([4.39132439, 6.        ]), array([5.00132447, 5.        ]), array([2.50084672, 4.        ])], [array([16.87502962,  9.        ]), array([15.00144574,  9.        ]), array([3.83019202, 9.        ]), array([4.39132439, 6.        ]), array([3.01280113, 4.        ])]]","[37.113705974278254, 23.148535203473962, 28.61786067111092, 36.80396337194727, 36.908982411756455, 36.65909972561024, 36.5479075689174, 40.95277711949632, 45.36009777605637, 40.66647573719032]","[460.6930897513299, 253.91630550936026, 355.2687812210486, 449.4883396412122, 512.4454279413685, 499.0428129056878, 477.9867251212758, 547.8900771569001, 585.91828789612, 539.980743034718]",4,265.157074
523387,8,"[201, 42, 76, 62, 301]",228.0,70,62,0.0,6,0,5,"[[array([4.50004933, 9.        ]), array([5.76190476, 6.        ]), array([11.17241379,  9.        ]), array([4.57142857, 6.        ])], [array([11.41049227,  9.        ]), array([3.29046424, 4.        ]), array([15.08695652,  6.        ]), array([5.49063342, 8.4       ])], [array([11.41049227,  9.        ]), array([7.82635225, 6.        ]), array([2.90727243, 4.        ]), array([9.1060241, 6.       ])], [array([11.41049227,  9.        ]), array([10.94644715,  9.        ]), array([6.66757862, 9.        ]), array([0.73660086, 4.        ])], [array([3.79031344, 4.        ]), array([11.82598571,  9.        ]), array([10.94644715,  9.        ]), array([5.50567386, 9.        ])], [array([11.41049227,  9.        ]), array([7.82635225, 6.        ]), array([2.90727243, 4.        ]), array([9.1060241, 6.       ])], [array([11.41049227,  9.        ]), array([7.82635225, 6.        ]), array([2.90727243, 4.        ]), array([9.56641668, 6.        ])], [array([11.41049227,  9.        ]), array([7.82635225, 6.        ]), array([4.39049857, 6.        ]), array([3.29028717, 4.        ]), array([4.91935587, 9.        ])], [array([14.08838039,  6.        ]), array([8.78054648, 6.        ]), array([5.07944425, 9.        ]), array([3.28971091, 4.        ]), array([5.41612903, 6.        ])], [array([11.41049227,  9.        ]), array([7.82635225, 6.        ]), array([5.07944425, 9.        ]), array([5.58412698, 6.        ])]]","[27.603477875055486, 32.12712786650559, 28.750084622460093, 30.256671334734833, 31.641052092694736, 28.750084622460093, 29.02632017392778, 32.70219167665554, 34.39252662694729, 29.940249445950016]","[331.06376104268395, 393.85644006945614, 344.4180602399508, 401.68930351682474, 411.80105450788994, 344.4180602399508, 348.1012009261866, 385.10485910408386, 383.89259928570095, 364.6731354782604]",6,136.353609
523424,0,"[76, 202, 71]",183.0,45,12,0.0,4,1,3,"[[array([6.03823436, 8.        ]), array([15.72844481,  8.        ]), array([9.45050659, 8.        ])], [array([7.64615197, 5.        ]), array([6.03814441, 8.        ]), array([12.80020532,  4.3       ])], [array([7.64615197, 5.        ]), array([4.86663578, 8.        ]), array([14.59586762,  8.        ]), array([2.71380069, 5.        ])], [array([7.64615197, 5.        ]), array([15.00117075,  8.        ]), array([8.51696229, 8.        ])], [array([7.64615197, 5.        ]), array([15.00117075,  8.        ]), array([8.51696229, 8.        ])], [array([14.08837118,  5.        ]), array([15.72837075,  8.        ]), array([0.91012194, 2.        ])], [array([7.64615197, 5.        ]), array([5.76190476, 5.        ]), array([2.07739946, 4.7       ])], [array([7.64615197, 5.        ]), array([15.00117075,  8.        ]), array([8.51696229, 8.        ])], [array([7.64615197, 5.        ]), array([14.59574843,  8.        ]), array([8.85407732, 8.        ])], [array([3.90878413, 2.        ]), array([6.98318486, 5.        ]), array([14.59574843,  8.        ]), array([2.7137382, 5.       ])]]","[28.330311454484093, 22.810701024097085, 28.293473636429823, 27.09857100663102, 27.09857100663102, 24.436118323298803, 15.17127371768304, 27.09857100663102, 27.057586635146027, 24.920873374591448]","[372.171857574735, 241.14580145548996, 335.14470263389444, 342.70439419364874, 342.70439419364874, 301.54279353728526, 149.17497353438551, 342.70439419364874, 342.0213213355655, 285.47108228129485]",8,186.138242
524232,0,"[76, 63, 202]",141.0,40,59,0.0,4,0,3,"[[array([6.03793674, 8.        ]), array([3.00016266, 6.        ]), array([6.65394893, 8.        ])], [array([4.39083563, 6.        ]), array([10.94665463,  8.        ]), array([2.50796952, 3.6       ])], [array([8.78082142, 5.        ]), array([10.35824097,  7.7       ])], [array([6., 6.]), array([5.49911482, 8.        ])], [array([10.9462789,  8.       ]), array([2.90796952, 4.        ]), array([0.80057545, 6.        ])], [array([10.9462789,  8.       ]), array([8.02652026, 4.75      ])], [array([10.9462789,  8.       ]), array([5.00971499, 6.        ])], [array([10.9462789,  8.       ]), array([2.90796952, 4.        ]), array([0.80057545, 6.        ])], [array([10.9462789,  8.       ]), array([2.90796952, 4.        ]), array([0.80057545, 6.        ])], [array([10.9462789,  8.       ]), array([2.90796952, 4.        ]), array([2.75960991, 6.        ])]]","[18.215228997348184, 17.74727587047764, 16.563437439541495, 12.499468890059125, 15.992894322765487, 16.483679498149012, 15.173596335046552, 15.992894322765487, 15.992894322765487, 17.168314999684885]","[206.92015796781567, 205.83786068316752, 195.34068742617671, 138.9911481676521, 181.31520972619052, 197.14180078184427, 185.5405089355958, 181.31520972619052, 181.31520972619052, 196.98748541844918]",8,53.950794
524648,5,"[61, 52, 201, 76]",160.0,20,60,0.0,4,1,4,"[[array([8.99169044, 6.        ]), array([8.7814834, 6.       ]), array([2.73967399, 4.45      ])], [array([10.94721897,  8.        ]), array([3.83076741, 7.        ]), array([2.77841164, 8.        ])], [array([8.99169044, 6.        ]), array([4.00223183, 8.        ]), array([6.43321397, 6.        ]), array([2.51664549, 7.        ])], [array([3.79041292, 5.        ]), array([10.9462789,  8.       ]), array([3.47184463, 5.        ])], [array([11.41049318,  8.        ]), array([3.26581271, 8.        ])], [array([4.50004821, 8.        ]), array([4.28679477, 7.        ]), array([13.50087684,  5.        ]), array([2.10532581, 8.        ])], [array([15.72727273,  6.        ]), array([9.12922471, 8.        ])], [array([4.50004821, 8.        ]), array([14.08837118,  5.        ]), array([3.39786247, 8.        ])], [array([15.72727273,  6.        ]), array([9.12922471, 8.        ])], [array([4.50004821, 8.        ]), array([6.43321397, 6.        ]), array([10.54861601,  8.        ])]]","[18.88770870240302, 19.733838810454213, 23.966269035452996, 18.12512187176919, 15.205783532388129, 25.83582737609091, 20.513898460488697, 21.5917691177447, 20.513898460488697, 21.68912691180507]","[204.75628800710024, 229.7332127675478, 256.0713629584361, 208.29859187310322, 186.7630588731355, 271.14103098452256, 253.11042888693282, 231.59770507880125, 253.11042888693282, 257.95235392962064]",8,162.818383
