id_veronacard,trial,itinerary,time_visit,time_distance,time_crowd,time_left,time_input,popular_poi_visited,poi_len,scores,scal_scores,hypervolume,preference_matches,time_process
522444,0,"[54, 201, 202]",190.0,30,20,0.0,4,0,3,[297.5662127 124.95     ],"[26.712272293021964, 21.359207298537882, 20.952152015900136, 20.952152015900136, 24.594500597945082, 20.411690948668124, 21.8703811683369, 22.72247339389927, 24.35039729127896, 24.594500597945082]",1,16,348.130842
522485,5,"[202, 71, 76, 62, 75]",245.0,70,45,0.0,6,1,5,[361.50888354 243.8       ],"[26.30359223689079, 32.153136863132566, 32.153136863132566, 33.53703782774972, 27.36759596421556, 39.70722365983562, 33.297955085311564, 27.775301238147613, 28.83239529748338, 33.297955085311564]",1,31,557.663816
522507,1,"[71, 52, 62, 202]",172.0,45,23,0.0,4,1,4,[276.0771431 170.05     ],"[24.458216218417423, 29.0226101272638, 21.887587790794704, 21.887587790794704, 26.921192783186665, 23.16411163210319, 21.400569211226763, 21.400569211226763, 21.400569211226763, 22.12327188543766]",1,27,351.617149
522702,2,"[76, 49, 202, 71]",271.0,55,34,0.0,6,1,4,[406.75466654 267.85      ],"[30.767863452354284, 38.09151490701956, 39.74020703886037, 31.01506693690401, 31.942133754523347, 36.838677335498986, 37.9745907867174, 33.45994360022654, 35.766657453605035, 35.59614466013481]",1,29,606.790055
522944,2,"[202, 76, 71, 54, 63]",249.0,70,41,0.0,6,1,5,[410.44906164 344.85      ],"[36.692784780461714, 34.309285726496, 41.9202203153608, 41.08163481622678, 40.141555952235436, 37.15969305595145, 40.28438801789568, 39.649776699511115, 41.677969218305925, 31.292128402675832]",1,41,578.509742
523015,8,"[76, 62, 302, 59, 202]",219.0,105,36,0.0,6,1,5,[364.3430707 323.05     ],"[30.978257061246588, 30.980091448378936, 39.8757663922769, 36.44589567922299, 41.47222079713837, 30.19266344588975, 30.75173645770569, 33.5079483559092, 42.287449279692325, 31.333813505078666]",1,39,552.992893
523387,0,"[59, 71, 76, 62, 58]",229.0,45,86,0.0,6,2,5,[298.43707265 323.55      ],"[33.6045948031752, 31.558121252860992, 32.38732838427789, 30.256671334734833, 30.256671334734833, 30.256671334734833, 29.392171142993874, 30.256671334734833, 30.256671334734833, 30.256671334734833]",1,35,542.374052
523424,0,"[202, 54, 59, 61]",168.0,45,27,0.0,4,2,4,[280.65686975 166.75      ],"[27.995466550105288, 25.42186377870672, 25.42186377870672, 23.108286193140287, 23.108286193140287, 23.108286193140287, 23.108286193140287, 23.108286193140287, 19.470719696336815, 21.242777080849653]",1,26,344.64124
524232,8,"[61, 49, 54, 52]",155.0,35,50,0.0,4,1,4,[187.60506051 223.9       ],"[14.128429540377063, 22.847305533692808, 21.67539500216037, 21.67539500216037, 17.6800639740515, 15.738495806758507, 21.67539500216037, 21.67539500216037, 23.35176644139353, 21.67539500216037]",1,26,469.400655
524648,4,"[42, 58, 76, 62]",150.0,45,45,0.0,4,0,4,[190.57703104 188.95      ],"[19.63621495285191, 16.861900918685365, 15.205783532388129, 16.442107150957305, 24.281945135795223, 20.310194689493457, 20.102244738725357, 19.26317708911669, 18.559473328636134, 19.26317708911669]",1,24,363.564872
525319,8,"[202, 201, 302, 62]",260.0,40,45,15.0,6,0,4,[392.39847673 253.4       ],"[36.56626587708841, 29.423194252564144, 33.439049434490755, 35.557514568707745, 35.12064574063085, 33.13298305391522, 33.026123476450586, 32.42764483747358, 36.84851930051311, 31.257145494122668]",1,25,548.31479
525738,2,"[52, 202, 301, 300, 76]",340.0,55,71,14.0,8,0,5,[432.68923284 333.4       ],"[41.09367604171141, 34.79053144719141, 44.34191022856087, 32.275700727232774, 42.33847626891685, 40.81274375037201, 37.22684850705229, 32.350642091661136, 44.26573413390526, 43.47727650796581]",1,37,654.810516
525826,9,"[58, 202, 76, 301]",243.0,50,67,0.0,6,0,4,[318.39867214 231.35      ],"[30.249652849861068, 22.81596778150908, 27.722511369564526, 27.722511369564526, 28.00093970343526, 29.399692134318613, 30.446935733764285, 27.5959240445209, 28.069659123904923, 31.55540917494725]",1,28,509.499187
525893,6,"[76, 58, 300]",170.0,35,30,5.0,4,0,3,[226.72053093 198.5       ],"[13.299386537817453, 17.901652964627285, 17.32347998905505, 21.850363939585197, 20.92455483178405, 26.944416904678214, 28.105227673423016, 24.426713977332184, 22.328260869565216, 22.328260869565216]",1,25,352.158101
526033,7,"[202, 61, 54]",144.0,25,71,0.0,4,1,3,[163.07567655 167.6       ],"[17.902658105660926, 15.856045498852495, 15.856045498852495, 16.005234038916186, 12.457519598398374, 12.457519598398374, 19.37176610394382, 20.545415291787236, 17.21660109796318, 17.21660109796318]",1,23,276.652992
526138,4,"[202, 76, 58]",163.0,25,52,0.0,4,0,3,[212.17882064 173.3       ],"[21.052317334032317, 20.59926828475367, 15.779262889705569, 20.59926828475367, 23.36455013798718, 17.655557706000955, 15.779262889705569, 20.59926828475367, 20.59926828475367, 20.59926828475367]",1,23,364.799269
